Feature ID	Taxon	Consensus
056ec0e7e0a0f6cf70dd54e108c330fb	Unassigned	1.0
057bdb2316f9cad81db6ea9a7383a52e	Unassigned	1.0
05a0534e92dda6ab53229d218df38bd6	Unassigned	1.0
05b47b2ae87f6f39fa864bf08e6972c3	Unassigned	1.0
05b5c6b19bb31905552a57790e3eb975	Unassigned	1.0
05cba18f92746eede56b77dcd662ea1f	Unassigned	1.0
05e2a574d753219a8cb13f799ff455fb	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__Nitrospira_F sp902500745	1.0
05f0bb09b9328265f1f72de52fb46c9f	Unassigned	1.0
05fb50f96426dcd8f6fcc26853cfb4ff	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__Ramlibacter sp015070875	1.0
05fba2227d11a5012b7a4afed0762807	Unassigned	1.0
05fc334c5fe8d4d9dd62195c8d01df57	Unassigned	1.0
05ff1b8e920e4feeb6ace7eca0c0edf0	Unassigned	1.0
060318ce3eba82cd3a13ff573399b5b9	Unassigned	1.0
0607fa790abce3be51273bdc3622c41b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__Rubrivivax sp001295905	1.0
0608e9b6aef159af495584b19f51c060	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__KK5;s__KK5 sp001984095	1.0
060accd1ed88025bd89df76d5612211b	Unassigned	1.0
060bb1c4224d6ce7c7b240693d1c5ab6	Unassigned	1.0
060f6d721f2686eb223f031ee661c0cf	Unassigned	1.0
061ed9b57a16a3a572590d81387eaece	Unassigned	1.0
061ff8f7068bc8b6d548f58f6b4364d5	Unassigned	1.0
0622513c52fca6fe2a78609cddfa6467	Unassigned	1.0
06233f3eb4b4b527f6a9225bdf6e92e7	Unassigned	1.0
06254d7a90aa5c9ed1d65bf1b9e9203b	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__SYSU-D60009;s__SYSU-D60009 sp003574735	1.0
063181a0666c396a93528f1784cd111c	Unassigned	1.0
06391a0f1224677356557fcf7f83dddd	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__Rubrivivax sp016709385	1.0
0644bc0148586e97dda34b5c67d2b86d	Unassigned	1.0
066046d98ac623465991b500a017c083	Unassigned	1.0
066a5396eadf7558ecc1bcd1fa45cc37	Unassigned	1.0
0687d9216edb714664d30b28d5fc5b0c	Unassigned	1.0
06998f5fdf81c05a3cde4972e2bba487	Unassigned	1.0
06a8f25af61de645d51693049ce9f3d8	Unassigned	1.0
06bedcc1b7e66b1f323d99445670e877	Unassigned	1.0
